יידיש|עברית|גרויס|פארשפארט|שטאפל
"רוי:ד'תתקמ""ז"|"ד'תתקמ""ז"|1864||1
רוי:קאפסול|כמוסה|1865||
רוי:45 (נומער)|45 (מספר)|1870||1
"רוי:ה'תש""ץ"|"ה'תש""ץ"|1870||1
"רוי:י""ט אב"|"י""ט באב"|1871||1
"רוי:ה'רצ""ה"|"ה'רצ""ה"|1873||1
"רוי:ה'רפ""א"|"ה'רפ""א"|1874||1
"רוי:ה'רפ""ד"|"ה'רפ""ד"|1874||1
רוי:דיאמעטער|קוטר|1874||
"רוי:ה'ש""ח"|"ה'ש""ח"|1877||1
"רוי:ה'שפ""ח"|"ה'שפ""ח"|1877||1
"רוי:ה'תנ""ו"|"ה'תנ""ו"|1877||1
רוי:ל' תשרי|ל' בתשרי|1877||1
"רוי:ה'שנ""ה"|"ה'שנ""ה"|1878||1
"רוי:ה'שפ""ה"|"ה'שפ""ה"|1878||1
"רוי:ה'ת""ן"|"ה'ת""ן"|1878||1
רוי:כעמיש בית הכסא|בית שימוש כימי|1878||
"רוי:ה'רנ""א"|"ה'רנ""א"|1879||1
"רוי:ה'תנ""ט"|"ה'תנ""ט"|1879||1
"רוי:ה'שי""ז"|"ה'שי""ז"|1880||1
"רוי:ה'ת""ך"|"ה'ת""ך"|1880||1
רוי:בענגאליש|בנגלית|1880||
"רוי:ה'שנ""ב"|"ה'שנ""ב"|1881||1
"רוי:ה'רס""ד"|"ה'רס""ד"|1882||1
"רוי:ה'רע""ה"|"ה'רע""ה"|1882||1
"רוי:ה'ת""ו"|"ה'ת""ו"|1882||1
"רוי:ה'תל""ב"|"ה'תל""ב"|1882||1
"רוי:כ""ג אלול"|"כ""ג באלול"|1882||1
"רוי:ה'רס""ג"|"ה'רס""ג"|1883||1
"רוי:ה'ש""ב"|"ה'ש""ב"|1883||1
"רוי:ה'שכ""ט"|"ה'שכ""ט"|1883||1
"רוי:ה'שנ""ט"|"ה'שנ""ט"|1883||1
"רוי:ה'שע""ג"|"ה'שע""ג"|1883||1
"רוי:ה'ת""ג"|"ה'ת""ג"|1883||1
"רוי:ה'תע""א"|"ה'תע""א"|1883||1
"רוי:ד'תתקס""ב"|"ד'תתקס""ב"|1884||1
"רוי:ה'רל""ו"|"ה'רל""ו"|1884||1
"רוי:ה'ש""ך"|"ה'ש""ך"|1885||1
"רוי:כ""ו אב"|"כ""ו באב"|1885||1
רוי:שטעלע|משרה|1885||
"רוי:ה'רל""ט"|"ה'רל""ט"|1886||1
"רוי:ה'ש""ז"|"ה'ש""ז"|1886||1
"רוי:ה'תקכ""ג"|"ה'תקכ""ג"|1887||1
"רוי:ה'תקפ""ד"|"ה'תקפ""ד"|1889||1
רוי:פאקטאריזאציע|פירוק לגורמים|1889||
"רוי:ה'תפ""ח"|"ה'תפ""ח"|1891||1
"רוי:ה'ת""ט"|"ה'ת""ט"|1893||1
"רוי:ה'תצ""ח"|"ה'תצ""ח"|1893||1
"רוי:ה'ש""ם"|"ה'ש""ם"|1894||1
"רוי:ה'תקכ""ח"|"ה'תקכ""ח"|1894||1
"רוי:ה'תקנ""ה"|"ה'תקנ""ה"|1894||1
"רוי:ה'תקפ""ב"|"ה'תקפ""ב"|1894||1
רוי:ה'ש'|ה'ש'|1897||1
"רוי:ה'שס""ב"|"ה'שס""ב"|1899||1
"רוי:ה'רנ""ו"|"ה'רנ""ו"|1900||1
"רוי:ה'רנ""ז"|"ה'רנ""ז"|1903||1
רוי:ב' אב|ב' באב|1904||1
"רוי:ה'שס""ה"|"ה'שס""ה"|1904||1
"רוי:ה'תקל""ג"|"ה'תקל""ג"|1906||1
רוי:אינדעפענדענט ספיריט פרעמיע|פרס אינדפנדנט ספיריט|1906|1|
"רוי:ה'ת""ז"|"ה'ת""ז"|1907||1
רוי:דזשעקי מעסאן|ג'קי מייסון|1907||
"רוי:ה'שס""ט"|"ה'שס""ט"|1909||1
רוי:סעמי שילט|סמי שילט|1909||
"רוי:י""ג אב"|"י""ג באב"|1910||1
רוי:סעווערן|סוורן (נהר)|1910||
"רוי:ה'תנ""א"|"ה'תנ""א"|1911||1
"רוי:ה'תע""ט"|"ה'תע""ט"|1911||1
"רוי:ה'תשצ""ז"|"ה'תשצ""ז"|1911||1
רוי:פאראפין|פרפין|1911||
רוי:רבי מרדכי דוד הורוויץ|מרדכי דוד הורוביץ|1911||
"רוי:ה'שמ""ה"|"ה'שמ""ה"|1912||1
"רוי:ה'תי""ח"|"ה'תי""ח"|1912||1
רוי:באקינגהאמשיר|בקינגהאמשייר|1912||
"רוי:ה'ר""פ"|"ה'ר""ף"|1913||1
"רוי:ה'תכ""ב"|"ה'תכ""ב"|1913||1
"רוי:ה'תקס""ד"|"ה'תקס""ד"|1913||1
"רוי:ה'פ""ח"|"ה'פ""ח"|1914||1
"רוי:ה'תי""ג"|"ה'תי""ג"|1914||1
