יידיש|עברית|גרויס|פארשפארט|שטאפל
"רוי:י""ב ניסן"|"י""ב בניסן"|1914||1
רוי:צענטראל-הייצונג|הסקה מרכזית|1914||
רוי:ג' ניסן|ג' בניסן|1915||1
"רוי:ה'תמ""ז"|"ה'תמ""ז"|1915||1
"רוי:ה'רמ""ד"|"ה'רמ""ד"|1916||1
"רוי:ה'שי""ב"|"ה'שי""ב"|1916||1
רוי:מין|מין|1916||
"רוי:ה'שצ""ב"|"ה'שצ""ב"|1917||1
"רוי:ה'תכ""ו"|"ה'תכ""ו"|1917||1
"רוי:ה'תקס""ג"|"ה'תקס""ג"|1917||1
"רוי:ה'רנ""ח"|"ה'רנ""ח"|1918||1
"רוי:ה'רס""א"|"ה'רס""א"|1918||1
"רוי:ה'רפ""ה"|"ה'רפ""ה"|1918||1
"רוי:ה'שמ""ב"|"ה'שמ""ב"|1918||1
"רוי:ה'ת""ב"|"ה'ת""ב"|1918||1
"רוי:ה'תכ""ט"|"ה'תכ""ט"|1918||1
רוי:אייכנשטיין|אייכנשטיין|1918||
"רוי:ד'תתקע""ג"|"ד'תתקע""ג"|1919||1
"רוי:ה'רמ""ז"|"ה'רמ""ז"|1919||1
"רוי:ה'שי""ח"|"ה'שי""ח"|1919||1
"רוי:ה'שכ""ח"|"ה'שכ""ח"|1921||1
רוי:דו פו|דו פו|1921||
"רוי:ה'תק""ן"|"ה'תק""ן"|1923||1
"רוי:ה'תקי""ח"|"ה'תקי""ח"|1923||1
"רוי:ה'שצ""א"|"ה'שצ""א"|1924||1
רוי:קאנטרי|אזור כפרי|1924||
רוי:עפיגלאטיס|מכסה הגרון|1925||
"רוי:ה'שנ""ז"|"ה'שנ""ז"|1926||1
רוי:גאלד (קאליר)|זהב (צבע)|1926||
רוי:שאפער-ליצענץ|רישיון נהיגה|1926||
"רוי:ה'תקכ""ד"|"ה'תקכ""ד"|1927||1
"רוי:כ""א כסלו"|"כ""א בכסלו"|1927||1
"רוי:ה'ש""ד"|"ה'ש""ד"|1928||1
"רוי:ה'של""א"|"ה'של""א"|1928||1
"רוי:ה'תט""ז"|"ה'תט""ז"|1930||1
"רוי:ד'תתקצ""ה"|"ד'תתקצ""ה"|1931||1
"רוי:י""ב אלול"|"י""ב באלול"|1931||1
רוי:ניק|משתמש (מחשוב)|1931||
"רוי:ה'תקכ""ז"|"ה'תקכ""ז"|1932||1
"רוי:ה'שע""ד"|"ה'שע""ד"|1934||1
"רוי:ה'תק""ז"|"ה'תק""ז"|1934||1
רוי:די חנוכה ליד|The Chanukah Song|1934||
"רוי:ה'שנ""ח"|"ה'שנ""ח"|1935||1
רוי:רבי אריה לייביש האלבערשטאם (קשאנאוו)|אריה לייבוש הלברשטאם (דוקלה)|1937||
"רוי:ה'תמ""א"|"ה'תמ""א"|1941||1
"רוי:ה'שכ""א"|"ה'שכ""א"|1942||1
רוי:דיים|דיים (מטבע אמריקני)|1943||
"רוי:ד'תתקע""ז"|"ד'תתקע""ז"|1945||1
"רוי:ה'ר""ס"|"ה'ר""ס"|1945||1
"רוי:ה'רע""ו"|"ה'רע""ו"|1945||1
"רוי:ה'ת""ה"|"ה'ת""ה"|1945||1
"רוי:ה'תרל""ז"|"ה'תרל""ז"|1946||1
"רוי:ה'ש""ס"|"ה'ש""ס"|1947||1
"רוי:י""ט אדר"|"י""ט באדר"|1947||1
"רוי:י""ט אדר א'"|"י""ט באדר א'"|1947||1
"רוי:י""ט אדר ב'"|"י""ט באדר ב'"|1947||1
רוי:אויסדרוק (מאטעמאטיק)|ביטוי (מתמטיקה)|1947||
רוי:מויל|פה|1947||
"רוי:ה'תנ""ז"|"ה'תנ""ז"|1948||1
"רוי:ה'תכ""ז"|"ה'תכ""ז"|1949||1
רוי:באק|לחי (איבר)|1949||
רוי:ח' אייר|ח' באייר|1952||1
רוי:19 (נומער)|19 (מספר)|1957||1
רוי:אויגוסט|אוגוסט|1958||
"רוי:ה'פ""ד"|"ה'פ""ד"|1961||1
"רוי:ה'שס""ג"|"ה'שס""ג"|1961||1
רוי:הדסה|הדסה|1962||
רוי:ווראהאוויצע|ורהוביצה|1962||
"רוי:ה'תס""ב"|"ה'תס""ב"|1963||1
רוי:ט' אלול|ט' באלול|1964||1
רוי:ל' ניסן|ל' בניסן|1964||1
"רוי:ה'תמ""ה"|"ה'תמ""ה"|1965||1
רוי:18 (נומער)|18 (מספר)|1967||1
רוי:קילאמעטער|קילומטר|1967||
"רוי:ה'שצ""ו"|"ה'שצ""ו"|1968||1
רוי:פיזיאלאגיע|פיזיולוגיה|1969||
"רוי:י""ב תמוז"|"י""ב בתמוז"|1970||1
"רוי:ה'תכ""א"|"ה'תכ""א"|1971||1
רוי:ג' טבת|ג' בטבת|1972||1
"רוי:ה'רצ""ג"|"ה'רצ""ג"|1972||1
רוי:מזרח פריזישע אינזלען|איי פריזיה המזרחית|1973||
"רוי:ה'של""ט"|"ה'של""ט"|1974||1
רוי:בעקערלו ליניע|קו בייקרלו|1975||
רוי:ה'ת'|ה'ת'|1977||1
"רוי:ה'שע""ו"|"ה'שע""ו"|1978||1
"רוי:ה'תכ""ח"|"ה'תכ""ח"|1980||1
"רוי:ה'תק""ם"|"ה'תק""ם"|1980||1
"רוי:ה'תקמ""ג"|"ה'תקמ""ג"|1980||1
רוי:מאשאווצע|מושובצה|1980||
רוי:ו' תמוז|ו' בתמוז|1981||1
"רוי:י""ג ניסן"|"י""ג בניסן"|1982||1
רוי:באגאזש|כבודה|1983||
רוי:מכבי אשדוד|מכבי אשדוד (כדורסל)|1983||
"רוי:ה'רס""ט"|"ה'רס""ט"|1984||1
רוי:פארקויף מאשין|מכונת ממכר|1985||
"רוי:ד'תתס""ה"|"ד'תתס""ה"|1986||1
"רוי:ה'ש""ל"|"ה'ש""ל"|1986||1
"רוי:ה'ת""ק"|"ה'ת""ק"|1986||1
רוי:שאנק|ארון|1988||
"רוי:ה'שצ""ה"|"ה'שצ""ה"|1989||1
"רוי:ה'תל""ו"|"ה'תל""ו"|1989||1
"רוי:ה'תשצ""ח"|"ה'תשצ""ח"|1989||1
רוי:ישראל הורוויץ (מעליץ)|ישראל הורוביץ (מעליץ)|1989||
רוי:כ' אלול|כ' באלול|1991||1
רוי:זייגן|יניקה|1992||
רוי:לעבנסשטייגער|לייף סטייל|1992||
"רוי:ה'פ""ז"|"ה'פ""ז"|1993||1
"רוי:ה'תקל""א"|"ה'תקל""א"|1994||1
רוי:קולאמב|קולון|1994||
"רוי:ה'תמ""ט"|"ה'תמ""ט"|1995||1
"רוי:ה'ש""ט"|"ה'ש""ט"|1997||1
"רוי:ה'תקי""א"|"ה'תקי""א"|1998||1
רוי:ד' טבת|ד' בטבת|1999||1
"רוי:י""ז אלול"|"י""ז באלול"|1999||1
"רוי:ה'תקי""ד"|"ה'תקי""ד"|2000||1
"רוי:ה'תשפ""ד"|"ה'תשפ""ד"|2000||1
"רוי:ה'תק""י"|"ה'תק""י"|2002||1
רוי:מוזיקער|מוזיקאי|2002||
רוי:גוגעל גרופעס|גוגל קבוצות|2004||
רוי:ישראלי|ישראלי (פירושונים)|2004||
"רוי:ה'שכ""ב"|"ה'שכ""ב"|2007||1
רוי:גור אריה|גור אריה|2008||
רוי:קענטאן סטאנציע|תחנת הרכבת התחתית קנטון|2008||
"רוי:ה'תקכ""ב"|"ה'תקכ""ב"|2009||1
"רוי:ט""ז שבט"|"ט""ז בשבט"|2011||1
רוי:קאקאא בוים|קקאו (עץ)|2011||
"רוי:ה'תק""פ"|"ה'תק""ף"|2012||1
רוי:לעטיסיע|לטיסיה|2013||
רוי:נאטינגהאמשיר|נוטינגהאמשייר|2013||
"רוי:ה'שע""ה"|"ה'שע""ה"|2014||1
"רוי:ה'תק""ל"|"ה'תק""ל"|2014||1
רוי:ד' חשוון|ד' בחשוון|2015||1
רוי:כ' תמוז|כ' בתמוז|2015||1
"רוי:ה'ת""י"|"ה'ת""י"|2016||1
"רוי:ה'תקפ""ז"|"ה'תקפ""ז"|2019||1
"רוי:ה'רע""א"|"ה'רע""א"|2020||1
"רוי:כ""ט תשרי"|"כ""ט בתשרי"|2020||1
"רוי:ה'רל""ז"|"ה'רל""ז"|2021||1
"רוי:ה'שע""ט"|"ה'שע""ט"|2023||1
"רוי:ה'תל""ד"|"ה'תל""ד"|2023||1
"רוי:ה'תע""ז"|"ה'תע""ז"|2023||1
רוי:ז' תשרי|ז' בתשרי|2024||1
"רוי:ה'של""ד"|"ה'של""ד"|2025||1
"רוי:ה'ת""ע"|"ה'ת""ע"|2025||1
"רוי:ה'תקצ""ה"|"ה'תקצ""ה"|2025||1
"רוי:ה'שנ""ד"|"ה'שנ""ד"|2026||1
רוי:נאוועמבער|נובמבר|2027||
"רוי:ה'תקפ""א"|"ה'תקפ""א"|2028||1
"רוי:ה'רע""ז"|"ה'רע""ז"|2029||1
"רוי:ה'תקפ""ח"|"ה'תקפ""ח"|2029||1
"רוי:ה'שנ""א"|"ה'שנ""א"|2031||1
רוי:דיכטער|משורר|2031||
"רוי:ה'רצ""ח"|"ה'רצ""ח"|2034||1
"רוי:ה'ת""ף"|"ה'ת""ף"|2035||1
"רוי:ה'תקכ""ט"|"ה'תקכ""ט"|2035||1
"רוי:ה'תקמ""ז"|"ה'תקמ""ז"|2035||1
"רוי:ה'תקע""ט"|"ה'תקע""ט"|2036||1
רוי:מנשה מילער|מנשה מילר|2036||
רוי:פראכטשיף|אוניית משא|2038||
רוי:ה' ניסן|ה' בניסן|2040||1
רוי:לעסטערשיר|לסטרשייר|2040||
רוי:צענטראל לאנדאן|מרכז לונדון|2042||
"רוי:ה'ת""ל"|"ה'ת""ל"|2044||1
"רוי:ה'תפ""ד"|"ה'תפ""ד"|2045||1
"רוי:ה'תפ""ז"|"ה'תפ""ז"|2045||1
"רוי:ה'תצ""ו"|"ה'תצ""ו"|2046||1
"רוי:י""ח אב"|"י""ח באב"|2046||1
"רוי:ה'רפ""ב"|"ה'רפ""ב"|2047||1
רוי:נעמאן|ניימן (נהר)|2047||
"רוי:ה'תקט""ו"|"ה'תקט""ו"|2049||1
"רוי:ה'תקנ""ו"|"ה'תקנ""ו"|2050||1
רוי:טאאיזם|דאואיזם|2050||
"רוי:ה'תקל""ד"|"ה'תקל""ד"|2051||1
רוי:ערדמעסטונג|מדידה (מקצוע)|2051||
"רוי:ה'תל""ז"|"ה'תל""ז"|2052||1
רוי:גרויסוואשאן|נג'וואז'ון|2052||
רוי:פרעפערענץ|יחס העדפות|2052||
"רוי:ה'תע""ה"|"ה'תע""ה"|2053||1
רוי:ב' כסלו|ב' בכסלו|2054||1
רוי:אגראנאמיע|אגרונומיה|2054||
"רוי:ה'תקע""ב"|"ה'תקע""ב"|2055||1
"רוי:ה'שפ""ט"|"ה'שפ""ט"|2057||1
"רוי:ה'תצ""ז"|"ה'תצ""ז"|2057||1
רוי:48 (נומער)|48 (מספר)|2058||1
"רוי:ה'תקט""ז"|"ה'תקט""ז"|2061||1
"רוי:ה'שפ""ו"|"ה'שפ""ו"|2062||1
רוי:ה'ע|ה'ע'|2063||1
"רוי:ה'תקצ""ו"|"ה'תקצ""ו"|2063||1
"רוי:ה'תע""ב"|"ה'תע""ב"|2065||1
רוי:בויך|בטן|2066||
"רוי:ה'שכ""ו"|"ה'שכ""ו"|2071||1
"רוי:ה'תפ""ט"|"ה'תפ""ט"|2071||1
"רוי:י""ט אלול"|"י""ט באלול"|2071||1
"רוי:ה'תקי""ז"|"ה'תקי""ז"|2072||1
רוי:פוילבוים|אשחר|2072||
"רוי:ה'תס""ח"|"ה'תס""ח"|2074||1
"רוי:ה'תשצ""ה"|"ה'תשצ""ה"|2074||1
"רוי:ה'שט""ו"|"ה'שט""ו"|2075||1
"רוי:ה'תקי""ג"|"ה'תקי""ג"|2075||1
"רוי:ה'תר""ג"|"ה'תר""ג"|2076||1
"רוי:כ""ז שבט"|"כ""ז בשבט"|2076||1
"רוי:ה'ש""ע"|"ה'ש""ע"|2078||1
"רוי:ה'תס""ד"|"ה'תס""ד"|2078||1
רוי:טויב|טאוב|2081||
רוי:1937|1937|2082||1
"רוי:ה'שע""ב"|"ה'שע""ב"|2082||1
רוי:ביליאן|מיליארד|2082||1
רוי:זיי וועלן ניט דורכגיין!|הם לא יעברו!|2082||
רוי:מיכאל קינטאפ|מיכאל קינטופף|2083||
רוי:1939|1939|2085||1
רוי:1960|1960|2085||1
רוי:כ' כסלו|כ' בכסלו|2085||1
"רוי:ה'תע""ח"|"ה'תע""ח"|2086||1
רוי:1926|1926|2088||1
רוי:1930|1930|2088||1
"רוי:ה'ש""ג"|"ה'ש""ג"|2088||1
"רוי:ה'שמ""ט"|"ה'שמ""ט"|2088||1
רוי:בארקשיר|ברקשייר|2088||
רוי:ווישי|וישי|2090||
רוי:א' סיון|א' בסיוון|2091||1
"רוי:ה'שס""ו"|"ה'שס""ו"|2092||1
"רוי:ה'ש""א"|"ה'ש""א"|2093||1
רוי:ו' סיון|ו' בסיוון|2093||1
רוי:זעג|מסור|2093||
רוי:41 (נומער)|41 (מספר)|2095||1
"רוי:ה'רמ""ב"|"ה'רמ""ב"|2095||1
"רוי:ה'תרמ""ח"|"ה'תרמ""ח"|2095||1
רוי:פראזע (ליטעראטור)|פרוזה|2095||
רוי:1964|1964|2097||1
"רוי:ה'רמ""א"|"ה'רמ""א"|2097||1
רוי:אקטאבער|אוקטובר|2097||
רוי:1942|1942|2098||1
רוי:1948|1948|2098||1
רוי:דארבי מוזעאום און קונסט גאלעריע|המוזיאון האמנותי של דרבי|2098||
רוי:1952|1952|2099||1
"רוי:כ""א אלול"|"כ""א באלול"|2099||1
רוי:ניזשער טייך|ניז'ר (נהר)|2099||
רוי:1936|1936|2101||1
"רוי:ט""ז אלול"|"ט""ז באלול"|2101||1
"רוי:י""ט ניסן"|"י""ט בניסן"|2101||1
רוי:דעוואנאגארי|אלפבית דוונאגרי|2101||
"רוי:ה'תט""ו"|"ה'תט""ו"|2103||1
רוי:1469|1469|2105||1
"רוי:י""ז אב"|"י""ז באב"|2105||1
רוי:1477|1477|2106||1
רוי:1496|1496|2106||1
רוי:ט' ניסן|ט' בניסן|2106||1
רוי:1504|1504|2107||1
רוי:י' סיון|י' בסיוון|2107||1
רוי:אוונט|ערב|2107||
רוי:1466|1466|2108||1
רוי:1485|1485|2108||1
רוי:זייגערדיק|כיוון השעון|2108||
רוי:1515|1515|2109||1
"רוי:ה'תקצ""ב"|"ה'תקצ""ב"|2109||1
"רוי:ה'תס""ג"|"ה'תס""ג"|2110||1
רוי:1474|1474|2111||1
רוי:1493|1493|2111||1
רוי:1512|1512|2111||1
"רוי:ה'שפ""ב"|"ה'שפ""ב"|2111||1
רוי:ירושלימער אלמאנאך|ירושלימער אלמאנאך|2111||
"רוי:ה'תפ""ג"|"ה'תפ""ג"|2112||1
רוי:מעכאניק|מכניקה|2112||
רוי:1929|1929|2113||1
"רוי:ה'שנ""ג"|"ה'שנ""ג"|2115||1
"רוי:ה'שצ""ט"|"ה'שצ""ט"|2115||1
רוי:15 (נומער)|15 (מספר)|2116||1
"רוי:ה'של""ה"|"ה'של""ה"|2116||1
"רוי:ה'תפ""א"|"ה'תפ""א"|2118||1
רוי:25 (נומער)|25 (מספר)|2119||1
"רוי:ה'תנ""ד"|"ה'תנ""ד"|2119||1
"רוי:ה'רצ""א"|"ה'רצ""א"|2124||1
"רוי:ה'תנ""ח"|"ה'תנ""ח"|2124||1
"רוי:כ""א טבת"|"כ""א בטבת"|2124||1
רוי:קלימאטאלאגיע|קלימטולוגיה|2125||
רוי:1471|1471|2126||1
רוי:1473|1473|2126||1
רוי:1495|1495|2126||1
רוי:1511|1511|2126||1
"רוי:ה'צ""ב"|"ה'צ""ב"|2126||1
רוי:1482|1482|2127||1
רוי:1498|1498|2127||1
רוי:1503|1503|2127||1
רוי:1506|1506|2127||1
רוי:1490|1490|2128||1
רוי:1958|1958|2129||1
רוי:טאבאטשניק גארטן|"הגן הלאומי והאוניברסיטאי ע""ש טבצ'ניק"|2129||
רוי:כעמישער סימבאל|סמל כימי|2131||
רוי:ג' כסלו|ג' בכסלו|2132||1
רוי:1977|1977|2134||1
"רוי:ה'של""ב"|"ה'של""ב"|2134||1
רוי:גרינלענדישער ים|ים גרינלנד|2134||
רוי:ב' סיון|ב' בסיוון|2136||1
"רוי:ה'תק""ט"|"ה'תק""ט"|2138||1
"רוי:ה'תרט""ז"|"ה'תרט""ז"|2138||1
"רוי:ה'תקל""ח"|"ה'תקל""ח"|2139||1
רוי:1959|1959|2140||1
"רוי:ה'ת""ד"|"ה'ת""ד"|2140||1
"רוי:ה'תצ""ט"|"ה'תצ""ט"|2140||1
"רוי:ה'תק""ע"|"ה'תק""ע"|2140||1
רוי:רבי אלימלך ווייסבלום|אלימלך ויסבלום (רודניק)|2144||
רוי:29 (נומער)|29 (מספר)|2145||1
"רוי:כ""ו חשוון"|"כ""ו בחשוון"|2145||1
רוי:איטערזען|איטרזן|2147||
"רוי:ה'תקנ""ד"|"ה'תקנ""ד"|2149||1
"רוי:ה'תע""ד"|"ה'תע""ד"|2150||1
"רוי:ה'תרכ""ח"|"ה'תרכ""ח"|2150||1
רוי:וואהלינער גובערניע|ווהלין (מחוז)|2152||
רוי:ישראל (באדייטן)|ישראל (פירושונים)|2152||
"רוי:ט""ז תמוז"|"ט""ז בתמוז"|2155||1
רוי:קאשוביש|קשובית|2155||
רוי:א' תמוז|א' בתמוז|2156||1
"רוי:ה'תקנ""ז"|"ה'תקנ""ז"|2156||1
רוי:ה' סיון|ה' בסיוון|2157||1
"רוי:ה'תכ""ג"|"ה'תכ""ג"|2158||1
רוי:סייף|כספת|2159||
רוי:תינוקות של בית רבן|תינוקות של בית רבן|2160||
רוי:פרירונג ברי|כוויית קור|2161||
רוי:49 (נומער)|49 (מספר)|2162||1
"רוי:ה'תקס""ט"|"ה'תקס""ט"|2168||1
"רוי:כ""ב כסלו"|"כ""ב בכסלו"|2169||1
"רוי:ה'תנ""ג"|"ה'תנ""ג"|2170||1
רוי:סטראטפארד, לאנדאן|סטרטפורד (לונדון)|2170||
רוי:1951|1951|2171||1
"רוי:ה'רס""ה"|"ה'רס""ה"|2171||1
"רוי:כ""ה טבת"|"כ""ה בטבת"|2171||1
רוי:רבי יעקב דוד קאליש (דער צווייטער)|יעקב דוד קאליש (השני)|2171||
"רוי:ה'תס""ו"|"ה'תס""ו"|2172||1
"רוי:ה'תרל""א"|"ה'תרל""א"|2172||1
רוי:1567|1567|2173||1
רוי:1556|1556|2174||1
רוי:1975|1975|2174||1
"רוי:כ""ז כסלו"|"כ""ז בכסלו"|2174||1
רוי:כ' ניסן|כ' בניסן|2174||1
רוי:מערידא, ווענעזועלע|מרידה (ונצואלה)|2174||
רוי:1537|1537|2175||1
רוי:1564|1564|2175||1
רוי:1575|1575|2175||1
"רוי:ה'תקצ""ג"|"ה'תקצ""ג"|2175||1
רוי:1943|1943|2176||1
"רוי:ה'ר""ם"|"ה'ר""ם"|2176||1
רוי:1927|1927|2177||1
"רוי:ה'תק""ך"|"ה'תק""ך"|2177||1
רוי:וואסאבי|ואסאבי|2177||
רוי:1553|1553|2178||1
רוי:1561|1561|2178||1
רוי:1542|1542|2179||1
רוי:1996|1996|2179||1
רוי:1550|1550|2181||1
"רוי:ה'תקמ""ב"|"ה'תקמ""ב"|2181||1
רוי:סומי גובערניע|סומי (מחוז)|2181||
רוי:1531|1531|2182||1
רוי:1938|1938|2182||1
"רוי:ה'תר""ס"|"ה'תר""ס"|2183||1
רוי:MS-DOS|MS-DOS|2183||
"רוי:ה'תק""ד"|"ה'תק""ד"|2184||1
רוי:1970|1970|2185||1
"רוי:ד'תתקס""ה"|"ד'תתקס""ה"|2185||1
רוי:1483|1483|2186||1
רוי:1494|1494|2186||1
"רוי:ה'תקמ""א"|"ה'תקמ""א"|2186||1
רוי:1954|1954|2187||1
רוי:1513|1513|2188||1
רוי:1932|1932|2188||1
"רוי:ה'תק""ח"|"ה'תק""ח"|2188||1
"רוי:ה'תקל""ז"|"ה'תקל""ז"|2188||1
"רוי:ה'תרי""ז"|"ה'תרי""ז"|2189||1
רוי:דראט|תיל|2189||
רוי:1470|1470|2190||1
רוי:1472|1472|2190||1
רוי:1489|1489|2190||1
רוי:1965|1965|2190||1
רוי:1497|1497|2192||1
רוי:1500|1500|2192||1
רוי:1502|1502|2192||1
רוי:1510|1510|2192||1
רוי:ב' חשוון|ב' בחשוון|2192||1
"רוי:ה'תס""ז"|"ה'תס""ז"|2192||1
רוי:1940|1940|2193||1
רוי:1962|1962|2193||1
רוי:1481|1481|2194||1
רוי:1946|1946|2194||1
"רוי:יארן ב'ר' - ב'רצ""ט"|"שנים עבריות ב'ר' - ב'רצ""ט"|2194||1
רוי:1568|1568|2195||1
רוי:1549|1549|2196||1
"רוי:ד'תתקכ""ד"|"ד'תתקכ""ד"|2196||1
רוי:מזרח אזיע|מזרח אסיה|2196||
רוי:1522|1522|2197||1
רוי:1525|1525|2197||1
רוי:1530|1530|2197||1
רוי:1533|1533|2197||1
רוי:1536|1536|2197||1
רוי:1541|1541|2197||1
רוי:1547|1547|2197||1
רוי:1552|1552|2197||1
רוי:1560|1560|2197||1
רוי:1566|1566|2197||1
רוי:1571|1571|2197||1
רוי:1574|1574|2197||1
רוי:1577|1577|2197||1
רוי:1579|1579|2197||1
"רוי:כ""ד אלול"|"כ""ד באלול"|2197||1
"רוי:ה'רע""ד"|"ה'רע""ד"|2198||1
רוי:JewishGen|JewishGen|2198||
רוי:בועז מעודה|בועז מעודה|2198||
"רוי:ה'תקנ""ג"|"ה'תקנ""ג"|2199||1
רוי:שניימענטש|איש שלג|2199||
"רוי:ה'תק""ג"|"ה'תק""ג"|2201||1
רוי:100 (נומער)|100 (מספר)|2202||1
"רוי:ה'תקל""ה"|"ה'תקל""ה"|2202||1
"רוי:ה'תרס""א"|"ה'תרס""א"|2202||1
רוי:ח' חשוון|ח' בחשוון|2202||1
רוי:1941|1941|2204||1
"רוי:ד'תתקל""א"|"ד'תתקל""א"|2204||1
"רוי:ה'ש""ה"|"ה'ש""ה"|2204||1
"רוי:ה'תרכ""ז"|"ה'תרכ""ז"|2204||1
רוי:1982|1982|2205||1
רוי:בלאט (באדייטן)|עלה (פירושונים)|2205||
רוי:האלז|גרון|2206||
רוי:8|8|2207||1
רוי:1202|1202|2208||1
רוי:30 (נומער)|30 (מספר)|2209||1
רוי:ווירדזשין באנען|וירג'ין טריינס|2211||
רוי:14 (נומער)|14 (מספר)|2213||1
רוי:יומי דפגרא|יומי דפגרא|2213||
רוי:1950|1950|2214||1
רוי:1963|1963|2215||1
רוי:1505|1505|2217||1
רוי:1955|1955|2221||1
"רוי:ה'רפ""ח"|"ה'רפ""ח"|2221||1
"רוי:ה'תפ""ו"|"ה'תפ""ו"|2221||1
רוי:היכל|ההיכל|2221||
רוי:1488|1488|2222||1
"רוי:ה'תי""ז"|"ה'תי""ז"|2222||1
רוי:דזשין וויילדער|ג'ין ויילדר|2222||
רוי:מינוט|דקה|2222||
רוי:1572|1572|2223||1
"רוי:ה'שס""א"|"ה'שס""א"|2223||1
"רוי:כ""א סיון"|"כ""א בסיוון"|2223||1
"רוי:כ""ח אלול"|"כ""ח באלול"|2223||1
"רוי:ה'ר""ן"|"ה'ר""ן"|2224||1
"רוי:ה'שצ""ג"|"ה'שצ""ג"|2224||1
"רוי:ה'תפ""ה"|"ה'תפ""ה"|2224||1
"רוי:י""א ניסן"|"י""א בניסן"|2226||1
רוי:פסוק|פסוק|2227||
רוי:טאטשקע|מריצה|2228||
רוי:טבת|טבת|2228||
"רוי:ה'תר""ט"|"ה'תר""ט"|2229||1
רוי:פארראט|בגידה (מעילה באמון)|2229||
רוי:1518|1518|2230||1
רוי:רבי משולם זוסיא אווערבאך|משולם זושא אוירבך|2230||
רוי:1957|1957|2232||1
"רוי:ה'תקפ""ו"|"ה'תקפ""ו"|2232||1
"רוי:ה'ת""ץ"|"ה'ת""ץ"|2233||1
רוי:1534|1534|2234||1
"רוי:ה'תי""ד"|"ה'תי""ד"|2234||1
רוי:דער קנעכט|העבד|2234||
רוי:דזשעראם שאטנשטיין|ג'רום שוטנשטיין|2236||
רוי:רבי יוסף פאלאדזשי|רבי יוסף פלאג'י|2236||
רוי:36 (נומער)|36 (מספר)|2238||1
"רוי:ה'תצ""ג"|"ה'תצ""ג"|2239||1
"רוי:ה'תקע""א"|"ה'תקע""א"|2240||1
רוי:לארן|לרן|2240||
רוי:עוף|דמויי תרנגול|2241||
רוי:1944|1944|2242||1
רוי:מידלזברא|מידלסברו|2242||
"רוי:ה'תקכ""ה"|"ה'תקכ""ה"|2243||1
"רוי:ה'תקס""ה"|"ה'תקס""ה"|2243||1
"רוי:ה'תרמ""א"|"ה'תרמ""א"|2243||1
רוי:עלים לתרופה (ברסלב)|עלים לתרופה|2243||
"רוי:9טער י""ה"|המאה ה-9|2244||1
רוי:1491|1491|2245||1
רוי:RapidShare|RapidShare|2245||
רוי:רעאלער אנאליז|אנליזה ממשית|2246||
רוי:1934|1934|2247||1
רוי:ג' תמוז|ג' בתמוז|2247||1
רוי:קאני איילענד|קוני איילנד|2250||
"רוי:כ""ו כסלו"|"כ""ו בכסלו"|2251||1
רוי:ריב אייזן|מגררת|2252||
"רוי:י""ב אב"|"י""ב באב"|2253||1
רוי:1528|1528|2254||1
"רוי:ה'תק""ה"|"ה'תק""ה"|2254||1
"רוי:כ""ה תמוז"|"כ""ה בתמוז"|2254||1
רוי:1535|1535|2255||1
"רוי:ה'תרל""ו"|"ה'תרל""ו"|2256||1
רוי:ל' סיון|ל' בסיוון|2256||1
רוי:דוד טווערסקי (באדייטן)|דוד טברסקי|2257||
רוי:1570|1570|2259||1
רוי:ו' תשרי|ו' בתשרי|2259||1
