יידיש,עברית,גרויס,פארשפארט,שטאפל
רוי:עזרת תורה,עזרת תורה,4823,,
רוי:רבי צבי אלימלך שפירא (בלאזשאוו),צבי אלימלך שפירא (בלאז'וב),4826,,
רוי:פליג,זבובאים,4836,,
רוי:התאחדות קהלות החרדים,התאחדות קהלות החרדים,4837,,
רוי:מחיר יין,מחיר יין,4846,,
רוי:רבי יעקב שמשון שעפעטיווקער,יעקב שמשון משיפיטובקה,4846,,
רוי:סאכאטשאוו,סוכצ'ב,4851,,
רוי:MAC אדרעס,כתובת MAC,4852,,
רוי:רבי מאיר אטלאס,מאיר אטלס,4852,,
רוי:מסכת בכורות,מסכת בכורות,4857,,
רוי:רבי יוסף צבי קאליש,יוסף צבי קאליש,4861,,
רוי:רודניק,רודניק על נהר סן,4869,,
רוי:רבי שמואל עהרנפעלד,שמואל ארנפלד,4876,,
רוי:קרעיגסליסט,קרייגסליסט,4881,,
רוי:סאכאטשוב (חסידות),חסידות סוכטשוב,4890,,
רוי:רבי משה טווערסקי,משה טברסקי,4896,,
רוי:וואכטל,שלווים,4898,,
רוי:פאדאליע,פודוליה,4898,,
רוי:רבי אברהם ראפאפארט,אברהם רפופורט,4898,,
רוי:רבי שמואל טייטלבוים (גארליץ),שמואל טייטלבוים,4898,,
רוי:רבי יצחק מאיר העשל (קאפיטשיניץ),יצחק מאיר השיל (קופיטשניץ),4901,,
רוי:טאלטשעוו,טולצ'ווה,4903,,
רוי:סאדע וואסער,מי סודה,4909,,
רוי:געסטאפא,גסטפו,4923,,
רוי:רבי אלעזר בן חרסום,אלעזר בן חרסום,4931,,
רוי:רבי דוד טווערסקי (סקווירא),רבי דוד טברסקי (סקווירא),4941,,
רוי:איזאפאד,שווה-רגלאים,4944,,
רוי:רבי שמואל ענגיל,רבי שמואל אנגל,4957,,
רוי:פרשת תזריע,פרשת תזריע,4958,,
רוי:דווארט,ורטה (פולין),4963,,
רוי:מדרש רבה,מדרש רבה,4968,,
רוי:תמוז,תמוז,4979,,
רוי:וואכנאכט,ברית יצחק,4983,,
רוי:גרעיפפרוכט,אשכולית,4986,,
רוי:אבן העזר,אבן העזר,4991,,
